oTime,o,h,l,c,v
2019-10-06T10:00:00,13201.0,13350.0,13200.0,13350.0,2852
2019-10-06T10:30:00,13350.0,13350.0,13350.0,13350.0,2879
2019-10-06T11:00:00,13348.0,13348.0,13345.0,13345.0,2121
2019-10-06T11:30:00,13349.0,13400.0,13221.0,13221.0,21629
2019-10-06T12:00:00,13360.0,13362.0,13252.0,13252.0,6388
2019-10-07T11:00:00,13211.0,13211.0,13211.0,13211.0,853
2019-10-07T11:30:00,13211.0,13211.0,13200.0,13200.0,2170
2019-10-07T12:00:00,13211.0,13220.0,13200.0,13220.0,8200
2019-10-09T09:00:00,12624.0,12624.0,12545.0,12545.0,19034
2019-10-09T09:30:00,12536.0,12536.0,12010.0,12332.0,42795
2019-10-09T10:00:00,12335.0,12500.0,12335.0,12490.0,13660
2019-10-09T10:30:00,12480.0,12480.0,12400.0,12400.0,400
2019-10-09T11:00:00,12480.0,12555.0,12420.0,12555.0,25327
2019-10-09T11:30:00,12555.0,12750.0,12555.0,12750.0,16297
2019-10-09T12:00:00,12555.0,12555.0,12504.0,12505.0,2332
2019-10-12T09:00:00,12655.0,13250.0,12625.0,13250.0,15786
2019-10-12T09:30:00,12900.0,13000.0,12647.0,12850.0,28593
2019-10-12T10:00:00,12849.0,12849.0,12849.0,12849.0,1129
2019-10-12T10:30:00,12850.0,12900.0,12850.0,12875.0,40000
2019-10-12T11:00:00,12900.0,12900.0,12800.0,12800.0,929
2019-10-12T11:30:00,12661.0,12900.0,12659.0,12900.0,35747
2019-10-12T12:00:00,12911.0,12990.0,12911.0,12990.0,13105
2019-10-13T12:00:00,13000.0,13000.0,12998.0,12998.0,2851
2019-10-14T09:00:00,12998.0,12998.0,12998.0,12998.0,1500
2019-10-15T09:00:00,12747.0,12800.0,12747.0,12800.0,1347
2019-10-15T09:30:00,12790.0,12800.0,12700.0,12700.0,29030
2019-10-15T10:00:00,12500.0,12500.0,11011.0,12000.0,106632
2019-10-15T10:30:00,12000.0,12500.0,12000.0,12480.0,117331
2019-10-15T11:00:00,12400.0,12400.0,12000.0,12000.0,35200
2019-10-15T11:30:00,12001.0,12230.0,11950.0,12000.0,50730
2019-10-15T12:00:00,12347.0,12347.0,12000.0,12000.0,20345
2019-10-16T09:30:00,12234.0,12234.0,12000.0,12070.0,111500
2019-10-16T10:00:00,12100.0,12100.0,12000.0,12000.0,230000
2019-10-16T10:30:00,12053.0,12100.0,12010.0,12053.0,6932
2019-10-16T11:00:00,12053.0,12100.0,12000.0,12100.0,11232
2019-10-16T11:30:00,12100.0,12100.0,12100.0,12100.0,9218
2019-10-16T12:00:00,12001.0,12001.0,12000.0,12000.0,2069
2019-10-21T11:00:00,11730.0,11832.0,11730.0,11832.0,19253
2019-10-21T11:30:00,11832.0,11998.0,11832.0,11979.0,3289
2019-10-21T12:00:00,11800.0,11899.0,11760.0,11770.0,13744
