Id,rank_test_score,mean_test_score,std_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
89,64,0.86917961821186,0.0042428316535388175,10.191785430908203,0.10908852666147943,0.052391433715820314,0.0020904418031737967,40,20,50,"{'max_depth': 40, 'min_samples_split': 20, 'n_estimators': 50}",0.8704103671706264,0.8732522450835513,0.8737069455496191,0.8630214845970217,0.8655070486584812
82,66,0.8691342179521595,0.0031371347971135585,8.273282337188721,0.10724175812796123,0.04012141227722168,0.0024197203974892956,30,100,45,"{'max_depth': 30, 'min_samples_split': 100, 'n_estimators': 45}",0.8707513925201773,0.8724565192679322,0.8705240422871433,0.8633625099465727,0.8685766257389722
70,67,0.8691342101980588,0.004190549386308187,8.641058158874511,0.07153890643253183,0.04210681915283203,0.0015940206428650381,30,60,45,"{'max_depth': 30, 'min_samples_split': 60, 'n_estimators': 45}",0.8712060929862453,0.8700693418210753,0.8743889962487211,0.8617710583153347,0.8682355616189177
73,68,0.8691342024439581,0.003876860622596176,3.7601845264434814,0.01538166598489704,0.0200592041015625,0.0006602022626366674,30,80,20,"{'max_depth': 30, 'min_samples_split': 80, 'n_estimators': 20}",0.8704103671706264,0.8720018188018642,0.8731385699670342,0.8622257587814027,0.8678944974988632
157,68,0.8691342024439581,0.003876860622596176,3.785448360443115,0.034789303550205056,0.021555185317993164,0.003191351923960912,50,80,20,"{'max_depth': 50, 'min_samples_split': 80, 'n_estimators': 20}",0.8704103671706264,0.8720018188018642,0.8731385699670342,0.8622257587814027,0.8678944974988632
115,68,0.8691342024439581,0.003876860622596176,3.8517844676971436,0.06033787715562935,0.01915454864501953,0.0003961782812088207,40,80,20,"{'max_depth': 40, 'min_samples_split': 80, 'n_estimators': 20}",0.8704103671706264,0.8720018188018642,0.8731385699670342,0.8622257587814027,0.8678944974988632
166,71,0.8691114829288562,0.003127376997279382,7.561415433883667,0.13052529553954814,0.03230547904968262,0.0014788978275705959,50,100,45,"{'max_depth': 50, 'min_samples_split': 100, 'n_estimators': 45}",0.8707513925201773,0.8724565192679322,0.8704103671706264,0.8633625099465727,0.8685766257389722
124,71,0.8691114829288562,0.003127376997279382,8.473128700256348,0.07475616675811377,0.03951597213745117,0.0004832103401597557,40,100,45,"{'max_depth': 40, 'min_samples_split': 100, 'n_estimators': 45}",0.8707513925201773,0.8724565192679322,0.8704103671706264,0.8633625099465727,0.8685766257389722
75,73,0.8690887117197494,0.004266107359982108,7.446767902374267,0.058724672977134025,0.036113929748535153,0.0007446565675434469,30,80,40,"{'max_depth': 30, 'min_samples_split': 80, 'n_estimators': 40}",0.8695009662384904,0.8731385699670342,0.8737069455496191,0.8621120836648858,0.8669849931787176
117,73,0.8690887117197494,0.004266107359982108,7.5721770286560055,0.12010016310702082,0.03831124305725098,0.0015839226647247101,40,80,40,"{'max_depth': 40, 'min_samples_split': 80, 'n_estimators': 40}",0.8695009662384904,0.8731385699670342,0.8737069455496191,0.8621120836648858,0.8669849931787176
