<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.06.17	11:55:00	1.05158	1.05231	1.05158	1.05202	535	0	0
2022.06.17	12:00:00	1.05202	1.05271	1.05197	1.05230	623	0	0
2022.06.17	12:05:00	1.05230	1.05306	1.05228	1.05279	622	0	0
2022.06.17	12:10:00	1.05279	1.05354	1.05262	1.05352	845	0	0
2022.06.17	12:15:00	1.05352	1.05359	1.05300	1.05304	535	0	0
2022.06.17	12:20:00	1.05306	1.05331	1.05207	1.05232	774	0	0
2022.06.17	12:25:00	1.05233	1.05233	1.05169	1.05181	581	0	0
2022.06.17	12:30:00	1.05181	1.05285	1.05179	1.05272	517	0	0
2022.06.17	12:35:00	1.05273	1.05295	1.05216	1.05217	615	0	0
2022.06.17	12:40:00	1.05225	1.05228	1.05135	1.05141	655	0	0
2022.06.17	12:45:00	1.05142	1.05159	1.05110	1.05124	587	0	0
2022.06.17	12:50:00	1.05125	1.05224	1.05116	1.05213	859	0	0
2022.06.17	12:55:00	1.05213	1.05224	1.05167	1.05179	489	0	0
2022.06.17	13:00:00	1.05179	1.05262	1.05177	1.05262	489	0	0
2022.06.17	13:05:00	1.05262	1.05267	1.05201	1.05204	424	0	0
2022.06.17	13:10:00	1.05204	1.05216	1.05182	1.05192	406	0	0
2022.06.17	13:15:00	1.05192	1.05247	1.05184	1.05197	435	0	0
2022.06.17	13:20:00	1.05200	1.05253	1.05196	1.05221	437	0	0
2022.06.17	13:25:00	1.05221	1.05222	1.05126	1.05151	469	0	0
2022.06.17	13:30:00	1.05151	1.05212	1.05124	1.05192	477	0	0
2022.06.17	13:35:00	1.05194	1.05228	1.05139	1.05214	441	0	0
2022.06.17	13:40:00	1.05210	1.05232	1.05194	1.05227	458	0	0
2022.06.17	13:45:00	1.05224	1.05225	1.05167	1.05179	510	0	0
2022.06.17	13:50:00	1.05178	1.05267	1.05174	1.05225	485	0	0
2022.06.17	13:55:00	1.05225	1.05238	1.05180	1.05202	492	0	0
2022.06.17	14:00:00	1.05202	1.05232	1.05135	1.05142	632	0	0
